year,rank,country,gold,silver,bronz,total
1924,1,United States,45,27,27,99
1924,2,Finland,14,13,10,37
1924,3,France,13,15,10,38
1924,4,Great Britain,9,13,12,34
1924,5,Italy,8,3,5,16
1924,6,Switzerland,7,8,10,25
1924,7,Norway,5,2,3,10
1924,8,Sweden,4,13,12,29
1924,9,Netherlands,4,1,5,10
1924,10,Belgium,3,7,3,13
1924,11,Australia,3,1,2,6
1924,12,Denmark,2,5,2,9
1924,13,Hungary,2,3,4,9
1924,14,Yugoslavia,2,0,0,2
1924,15,Czechoslovakia,1,4,5,10
1924,16,Argentina,1,3,2,6
1924,17,Estonia,1,1,4,6
1924,18,South Africa,1,1,1,3
1924,19,Uruguay,1,0,0,1
1924,20,Austria,0,3,1,4
1924,20,Canada (CAN),0,3,1,4
1924,22,Poland,0,1,1,2
1924,23,Haiti,0,0,1,1
1924,23,Japan (JPN),0,0,1,1
1924,23,New,0,0,1,1
1924,23,Portugal (POR),0,0,1,1
1924,23,Romania (ROU),0,0,1,1
