year,rank,country,gold,silver,bronz,total
1972,1,Soviet Union,50,27,22,99
1972,2,United States,33,31,30,94
1972,3,East Germany,20,23,23,66
1972,4,West Germany,13,11,16,40
1972,5,Japan,13,8,8,29
1972,6,Australia,8,7,2,17
1972,7,Poland,7,5,9,21
1972,8,Hungary,6,13,16,35
1972,9,Bulgaria,6,10,5,21
1972,10,Italy,5,3,10,18
1972,11,Sweden,4,6,6,16
1972,12,Great Britain,4,5,9,18
1972,13,Romania,3,6,7,16
1972,14,Cuba,3,1,4,8
1972,14,Finland (FIN),3,1,4,8
1972,16,Netherlands,3,1,1,5
1972,17,France,2,4,7,13
1972,18,Czechoslovakia,2,4,2,8
1972,19,Kenya,2,3,4,9
1972,20,Yugoslavia,2,1,2,5
1972,21,Norway,2,1,1,4
1972,22,North Korea,1,1,3,5
1972,23,New Zealand,1,1,1,3
1972,24,Uganda,1,1,0,2
1972,25,Denmark,1,0,0,1
1972,26,Switzerland,0,3,0,3
1972,27,Canada,0,2,3,5
1972,28,Iran,0,2,1,3
1972,29,Belgium,0,2,0,2
1972,29,Greece (GRE),0,2,0,2
1972,31,Austria,0,1,2,3
1972,31,Colombia (COL),0,1,2,3
1972,33,Argentina,0,1,0,1
1972,33,South,0,1,0,1
1972,33,Lebanon (LIB),0,1,0,1
1972,33,Mexico (MEX),0,1,0,1
1972,33,Mongolia (MGL),0,1,0,1
1972,33,Pakistan (PAK),0,1,0,1
1972,33,Tunisia (TUN),0,1,0,1
1972,33,Turkey (TUR),0,1,0,1
1972,41,Brazil,0,0,2,2
1972,41,Ethiopia (ETH),0,0,2,2
1972,43,Ghana,0,0,1,1
1972,43,India (IND),0,0,1,1
1972,43,Jamaica (JAM),0,0,1,1
1972,43,Niger (NIG),0,0,1,1
1972,43,Nigeria (NGR),0,0,1,1
1972,43,Spain (ESP),0,0,1,1
