year,rank,country,gold,silver,bronz,total
1932,1,United States,41,32,30,103
1932,2,Italy,12,12,12,36
1932,3,France,10,5,4,19
1932,4,Sweden,9,5,9,23
1932,5,Japan,7,7,4,18
1932,6,Hungary,6,4,5,15
1932,7,Finland,5,8,12,25
1932,8,Great Britain,4,7,5,16
1932,9,Germany,3,12,5,20
1932,10,Australia,3,1,1,5
1932,11,Argentina,3,1,0,4
1932,12,Canada,2,5,8,15
1932,13,Netherlands,2,5,0,7
1932,14,Poland,2,1,4,7
1932,15,South Africa,2,0,3,5
1932,16,Ireland,2,0,0,2
1932,17,Czechoslovakia,1,2,1,4
1932,18,Austria,1,1,3,5
1932,19,India,1,0,0,1
1932,20,Denmark,0,3,3,6
1932,21,Mexico,0,2,0,2
1932,22,Latvia,0,1,0,1
1932,22,New,0,1,0,1
1932,22,Switzerland (SUI),0,1,0,1
1932,25,Philippines,0,0,3,3
1932,26,Spain,0,0,1,1
1932,26,Uruguay (URU),0,0,1,1
