year,rank,country,gold,silver,bronz,total
1948,1,United States,38,27,19,84
1948,2,Sweden,16,11,17,44
1948,3,France,10,6,13,29
1948,4,Hungary,10,5,12,27
1948,5,Italy,8,11,8,27
1948,6,Finland,8,7,5,20
1948,7,Turkey,6,4,2,12
1948,8,Czechoslovakia,6,2,3,11
1948,9,Switzerland,5,10,5,20
1948,10,Denmark,5,7,8,20
1948,11,Netherlands,5,2,9,16
1948,12,Great Britain,3,14,6,23
1948,13,Argentina,3,3,1,7
1948,14,Australia,2,6,5,13
1948,15,Belgium,2,2,3,7
1948,16,Egypt,2,2,1,5
1948,17,Mexico,2,1,2,5
1948,18,South Africa,2,1,1,4
1948,19,Norway,1,3,3,7
1948,20,Jamaica,1,2,0,3
1948,21,Austria,1,0,3,4
1948,22,India,1,0,0,1
1948,22,Peru (PER),1,0,0,1
1948,24,Yugoslavia,0,2,0,2
1948,25,Canada,0,1,2,3
1948,26,Portugal,0,1,1,2
1948,26,Uruguay (URU),0,1,1,2
1948,28,Ceylon,0,1,0,1
1948,28,Cuba (CUB),0,1,0,1
1948,28,Spain (ESP),0,1,0,1
1948,28,Trinidad,0,1,0,1
1948,32,South Korea,0,0,2,2
1948,32,Panama (PAN),0,0,2,2
1948,34,Brazil,0,0,1,1
1948,34,Iran (IRI),0,0,1,1
1948,34,Poland (POL),0,0,1,1
1948,34,Puerto,0,0,1,1
