year,rank,country,gold,silver,bronz,total
1980,1,Soviet Union,80,69,46,195
1980,2,East Germany,47,37,42,126
1980,3,Bulgaria,8,16,17,41
1980,4,Cuba,8,7,5,20
1980,5,Italy,8,3,4,15
1980,6,Hungary,7,10,15,32
1980,7,Romania,6,6,13,25
1980,8,France,6,5,3,14
1980,9,Great Britain,5,7,9,24
1980,10,Poland,3,14,15,32
1980,11,Sweden,3,3,6,12
1980,12,Finland,3,1,4,8
1980,13,Czechoslovakia,2,3,9,14
1980,14,Yugoslavia,2,3,4,9
1980,15,Australia,2,2,5,9
1980,16,Denmark,2,1,2,5
1980,17,Brazil,2,0,2,4
1980,18,Ethiopia,2,0,2,4
1980,19,Switzerland,2,0,0,2
1980,20,Spain,1,3,2,6
1980,21,Austria,1,2,1,4
1980,22,Greece,1,0,2,3
1980,23,Belgium,1,0,0,1
1980,24,India,1,0,0,1
1980,25,Zimbabwe,1,0,0,1
1980,26,North Korea,0,3,2,5
1980,27,Mongolia,0,2,2,4
1980,28,Tanzania,0,2,0,2
1980,29,Mexico,0,1,3,4
1980,30,Netherlands,0,1,2,3
1980,31,Ireland,0,1,1,2
1980,32,Uganda,0,1,0,1
1980,33,Venezuela,0,1,0,1
1980,34,Jamaica,0,0,3,3
1980,35,Guyana,0,0,1,1
1980,36,Lebanon,0,0,1,1
