year,rank,country,gold,silver,bronz,total
1908,1,Great Britain,56,51,39,146
1908,2,United States,23,12,12,47
1908,3,Sweden,8,6,11,25
1908,4,France,5,5,9,19
1908,5,Germany,3,5,5,13
1908,6,Hungary,3,4,2,9
1908,7,Canada,3,3,10,16
1908,8,Norway,2,3,3,8
1908,9,Italy,2,2,0,4
1908,10,Belgium,1,5,2,8
1908,11,Australasia,1,2,2,5
1908,12,Russian Empire,1,2,0,3
1908,13,Finland,1,1,3,5
1908,14,South Africa,1,1,0,2
1908,15,Greece,0,3,1,4
1908,16,Denmark,0,2,3,5
1908,17,Bohemia,0,0,2,2
1908,17,Netherlands (NED),0,0,2,2
1908,19,Austria,0,0,1,1
