year,rank,country,gold,silver,bronz,total
1912,1,United States,25,19,19,63
1912,2,Sweden,24,24,17,65
1912,3,Great Britain,10,15,16,41
1912,4,Finland,9,8,9,26
1912,5,France,7,4,3,14
1912,6,Germany,5,13,7,25
1912,7,South Africa,4,2,0,6
1912,8,Norway,4,1,4,9
1912,9,Canada,3,2,3,8
1912,9,Hungary (HUN),3,2,3,8
1912,11,Italy,3,1,2,6
1912,12,Australasia,2,2,3,7
1912,13,Belgium,2,1,3,6
1912,14,Denmark,1,6,5,12
1912,15,Greece,1,0,1,2
1912,16,Russian Empire,0,2,3,5
1912,17,Austria,0,2,2,4
1912,18,Netherlands,0,0,3,3
