year,rank,country,gold,silver,bronz,total
1984,1,United States,83,61,30,174
1984,2,Romania,20,16,17,53
1984,3,West Germany,17,19,23,59
1984,4,China,15,8,9,32
1984,5,Italy,14,6,12,32
1984,6,Canada,10,18,16,44
1984,7,Japan,10,8,14,32
1984,8,New Zealand,8,1,2,11
1984,9,Yugoslavia,7,4,7,18
1984,10,South Korea,6,6,7,19
1984,11,Great Britain,5,11,21,37
1984,12,France,5,7,16,28
1984,13,Netherlands,5,2,6,13
1984,14,Australia,4,8,12,24
1984,15,Finland,4,2,6,12
1984,16,Sweden,2,11,6,19
1984,17,Mexico,2,3,1,6
1984,18,Morocco,2,0,0,2
1984,19,Brazil,1,5,2,8
1984,20,Spain,1,2,2,5
1984,21,Belgium,1,1,2,4
1984,22,Austria,1,1,1,3
1984,23,Kenya,1,0,2,3
1984,23,Portugal (POR),1,0,2,3
1984,25,Pakistan,1,0,0,1
1984,26,Switzerland,0,4,4,8
1984,27,Denmark,0,3,3,6
1984,28,Jamaica,0,1,2,3
1984,28,Norway (NOR),0,1,2,3
1984,30,Greece,0,1,1,2
1984,30,Nigeria (NGR),0,1,1,2
1984,30,Puerto,0,1,1,2
1984,33,Colombia,0,1,0,1
1984,33,Ivory,0,1,0,1
1984,33,Egypt (EGY),0,1,0,1
1984,33,Ireland (IRL),0,1,0,1
1984,33,Peru (PER),0,1,0,1
1984,33,Syria (SYR),0,1,0,1
1984,33,Thailand (THA),0,1,0,1
1984,40,Turkey,0,0,3,3
1984,40,Venezuela (VEN),0,0,3,3
1984,42,Algeria,0,0,2,2
1984,43,Cameroon,0,0,1,1
1984,43,Chinese,0,0,1,1
1984,43,Dominican,0,0,1,1
1984,43,Iceland (ISL),0,0,1,1
1984,43,Zambia (ZAM),0,0,1,1
