year,rank,country,gold,silver,bronz,total
1900,1,France,26,41,34,101
1900,2,United States,19,14,14,47
1900,3,Great Britain,15,6,9,30
1900,4,Mixed team,6,3,3,12
1900,5,Switzerland,6,2,1,9
1900,6,Belgium,5,5,5,15
1900,7,Germany,4,2,2,8
1900,8,Italy,2,2,0,4
1900,9,Australia,2,0,3,5
1900,10,Denmark,1,3,2,6
1900,11,Hungary,1,2,2,5
1900,12,Cuba,1,1,0,2
1900,13,Canada,1,0,1,2
1900,14,Spain,1,0,0,1
1900,15,Austria,0,3,3,6
1900,16,Norway,0,2,3,5
1900,17,India,0,2,0,2
1900,18,Netherlands,0,1,3,4
1900,19,Bohemia,0,1,1,2
1900,20,Mexico,0,0,1,1
1900,20,Sweden (SWE),0,0,1,1
