year,rank,country,gold,silver,bronz,total
1920,1,United States,41,27,27,95
1920,2,Sweden,19,20,25,64
1920,3,Great Britain,15,15,13,43
1920,4,Finland,15,10,9,34
1920,5,Belgium,14,11,11,36
1920,6,Norway,13,9,9,31
1920,7,Italy,13,5,5,23
1920,8,France,9,19,13,41
1920,9,Netherlands,4,2,5,11
1920,10,Denmark,3,9,1,13
1920,11,South Africa,3,4,3,10
1920,12,Canada,3,3,3,9
1920,13,Switzerland,2,2,7,11
1920,14,Estonia,1,2,0,3
1920,15,Brazil,1,1,1,3
1920,16,Australia,0,2,1,3
1920,17,Japan,0,2,0,2
1920,17,Spain (ESP),0,2,0,2
1920,19,Greece,0,1,0,1
1920,19,Luxembourg (LUX),0,1,0,1
1920,21,Czechoslovakia,0,0,2,2
1920,22,New Zealand,0,0,1,1
