year,rank,country,gold,silver,bronz,total
1968,1,United States,45,28,34,107
1968,2,Soviet Union,29,32,30,91
1968,3,Japan,11,7,7,25
1968,4,Hungary,10,10,12,32
1968,5,East Germany,9,9,7,25
1968,6,France,7,3,5,15
1968,7,Czechoslovakia,7,2,4,13
1968,8,West Germany,5,11,10,26
1968,9,Australia,5,7,5,17
1968,10,Great Britain,5,5,3,13
1968,11,Poland,5,2,11,18
1968,12,Romania,4,6,5,15
1968,13,Italy,3,4,9,16
1968,14,Kenya,3,4,2,9
1968,15,Mexico,3,3,3,9
1968,16,Yugoslavia,3,3,2,8
1968,17,Netherlands,3,3,1,7
1968,18,Bulgaria,2,4,3,9
1968,19,Iran,2,1,2,5
1968,20,Sweden,2,1,1,4
1968,21,Turkey,2,0,0,2
1968,22,Denmark,1,4,3,8
1968,23,Canada,1,3,1,5
1968,24,Finland,1,2,1,4
1968,25,Ethiopia,1,1,0,2
1968,25,Norway (NOR),1,1,0,2
1968,27,New Zealand,1,0,2,3
1968,28,Tunisia,1,0,1,2
1968,29,Pakistan,1,0,0,1
1968,29,Venezuela (VEN),1,0,0,1
1968,31,Cuba,0,4,0,4
1968,32,Austria,0,2,2,4
1968,33,Switzerland,0,1,4,5
1968,34,Mongolia,0,1,3,4
1968,35,Brazil,0,1,2,3
1968,36,Belgium,0,1,1,2
1968,36,South,0,1,1,2
1968,36,Uganda (UGA),0,1,1,2
1968,39,Cameroon,0,1,0,1
1968,39,Jamaica (JAM),0,1,0,1
1968,41,Argentina,0,0,2,2
1968,42,Greece,0,0,1,1
1968,42,India (IND),0,0,1,1
1968,42,Republic,0,0,1,1
