year,rank,country,gold,silver,bronz,total
1976,1,Soviet Union,49,41,35,125
1976,2,East Germany,40,25,25,90
1976,3,United States,34,35,25,94
1976,4,West Germany,10,12,17,39
1976,5,Japan,9,6,10,25
1976,6,Poland,7,6,13,26
1976,7,Bulgaria,6,9,7,22
1976,8,Cuba,6,4,3,13
1976,9,Romania,4,9,14,27
1976,10,Hungary,4,5,13,22
1976,11,Finland,4,2,0,6
1976,12,Sweden,4,1,0,5
1976,13,Great Britain,3,5,5,13
1976,14,Italy,2,7,4,13
1976,15,France,2,3,4,9
1976,16,Yugoslavia,2,3,3,8
1976,17,Czechoslovakia,2,2,4,8
1976,18,New Zealand,2,1,1,4
1976,19,South Korea,1,1,4,6
1976,20,Switzerland,1,1,2,4
1976,21,Jamaica,1,1,0,2
1976,21,North,1,1,0,2
1976,21,Norway (NOR),1,1,0,2
1976,24,Denmark,1,0,2,3
1976,25,Mexico,1,0,1,2
1976,26,Trinidad and Tobago,1,0,0,1
1976,27,Canada,0,5,6,11
1976,28,Belgium,0,3,3,6
1976,29,Netherlands,0,2,3,5
1976,30,Portugal,0,2,0,2
1976,30,Spain (ESP),0,2,0,2
1976,32,Australia,0,1,4,5
1976,33,Iran,0,1,1,2
1976,34,Mongolia,0,1,0,1
1976,34,Venezuela (VEN),0,1,0,1
1976,36,Brazil,0,0,2,2
1976,37,Austria,0,0,1,1
1976,37,Bermuda (BER),0,0,1,1
1976,37,Pakistan (PAK),0,0,1,1
1976,37,Puerto,0,0,1,1
1976,37,Thailand (THA),0,0,1,1
