year,rank,country,gold,silver,bronz,total
1952,1,United States,40,19,17,76
1952,2,Soviet Union,22,30,19,71
1952,3,Hungary,16,10,16,42
1952,4,Sweden,12,13,10,35
1952,5,Italy,8,9,4,21
1952,6,Czechoslovakia,7,3,3,13
1952,7,France,6,6,6,18
1952,8,Finland,6,3,13,22
1952,9,Australia,6,2,3,11
1952,10,Norway,3,2,0,5
1952,11,Switzerland,2,6,6,14
1952,12,South Africa,2,4,4,10
1952,13,Jamaica,2,3,0,5
1952,14,Belgium,2,2,0,4
1952,15,Denmark,2,1,3,6
1952,16,Turkey,2,0,1,3
1952,17,Japan,1,6,2,9
1952,18,Great Britain,1,2,8,11
1952,19,Argentina,1,2,2,5
1952,20,Poland,1,2,1,4
1952,21,Canada,1,2,0,3
1952,21,Yugoslavia (YUG),1,2,0,3
1952,23,Romania,1,1,2,4
1952,24,Brazil,1,0,2,3
1952,24,New,1,0,2,3
1952,26,India,1,0,1,2
1952,27,Luxembourg,1,0,0,1
1952,28,Germany,0,7,17,24
1952,29,Netherlands,0,5,0,5
1952,30,Iran,0,3,4,7
1952,31,Chile,0,2,0,2
1952,32,Austria,0,1,1,2
1952,32,Lebanon (LIB),0,1,1,2
1952,34,Ireland,0,1,0,1
1952,34,Mexico (MEX),0,1,0,1
1952,34,Spain (ESP),0,1,0,1
1952,37,South Korea,0,0,2,2
1952,37,Trinidad,0,0,2,2
1952,37,Uruguay (URU),0,0,2,2
1952,40,Bulgaria,0,0,1,1
1952,40,Egypt (EGY),0,0,1,1
1952,40,Portugal (POR),0,0,1,1
1952,40,Venezuela (VEN),0,0,1,1
