year,rank,country,gold,silver,bronz,total
1988,1,Soviet Union,55,31,46,132
1988,2,East Germany,37,35,30,102
1988,3,United States,36,31,27,94
1988,4,South Korea,12,10,11,33
1988,5,West Germany,11,14,15,40
1988,6,Hungary,11,6,6,23
1988,7,Bulgaria,10,12,13,35
1988,8,Romania,7,11,6,24
1988,9,France,6,4,6,16
1988,10,Italy,6,4,4,14
1988,11,China,5,11,12,28
1988,12,Great Britain,5,10,9,24
1988,13,Kenya,5,2,2,9
1988,14,Japan,4,3,7,14
1988,15,Australia,3,6,5,14
1988,16,Yugoslavia,3,4,5,12
1988,17,Czechoslovakia,3,3,2,8
1988,18,New Zealand,3,2,8,13
1988,19,Canada,3,2,5,10
1988,20,Poland,2,5,9,16
1988,21,Norway,2,3,0,5
1988,22,Netherlands,2,2,5,9
1988,23,Denmark,2,1,1,4
1988,24,Brazil,1,2,3,6
1988,25,Finland,1,1,2,4
1988,25,Spain (ESP),1,1,2,4
1988,27,Turkey,1,1,0,2
1988,28,Morocco,1,0,2,3
1988,29,Austria,1,0,0,1
1988,29,Portugal (POR),1,0,0,1
1988,29,Suriname (SUR),1,0,0,1
1988,32,Sweden,0,4,7,11
1988,33,Switzerland,0,2,2,4
1988,34,Jamaica,0,2,0,2
1988,35,Argentina,0,1,1,2
1988,36,Chile,0,1,0,1
1988,36,Costa,0,1,0,1
1988,36,Indonesia (INA),0,1,0,1
1988,36,Iran (IRI),0,1,0,1
1988,36,Netherlands,0,1,0,1
1988,36,Peru (PER),0,1,0,1
1988,36,Senegal (SEN),0,1,0,1
1988,36,Virgin,0,1,0,1
1988,44,Belgium,0,0,2,2
1988,44,Mexico (MEX),0,0,2,2
1988,46,Colombia,0,0,1,1
1988,46,Djibouti (DJI),0,0,1,1
1988,46,Greece (GRE),0,0,1,1
1988,46,Mongolia (MGL),0,0,1,1
1988,46,Pakistan (PAK),0,0,1,1
1988,46,Philippines (PHI),0,0,1,1
1988,46,Thailand (THA),0,0,1,1
