year,rank,country,gold,silver,bronz,total
1956,1,Soviet Union,37,29,32,98
1956,2,United States,32,25,17,74
1956,3,Australia,13,8,14,35
1956,4,Hungary,9,10,7,26
1956,5,Italy,8,8,9,25
1956,6,Sweden,8,5,6,19
1956,7,Germany,6,13,7,26
1956,8,Great Britain,6,7,11,24
1956,9,Romania,5,3,5,13
1956,10,Japan,4,10,5,19
1956,11,France,4,4,6,14
1956,12,Turkey,3,2,2,7
1956,13,Finland,3,1,11,15
1956,14,Iran,2,2,1,5
1956,15,Canada,2,1,3,6
1956,16,New Zealand,2,0,0,2
1956,17,Poland,1,4,4,9
1956,18,Czechoslovakia,1,4,1,6
1956,19,Bulgaria,1,3,1,5
1956,20,Denmark,1,2,1,4
1956,21,Ireland,1,1,3,5
1956,22,Norway,1,0,2,3
1956,23,Mexico,1,0,1,2
1956,24,Brazil,1,0,0,1
1956,24,India (IND),1,0,0,1
1956,26,Yugoslavia,0,3,0,3
1956,27,Chile,0,2,2,4
1956,28,Belgium,0,2,0,2
1956,29,Argentina,0,1,1,2
1956,29,South,0,1,1,2
1956,31,Iceland,0,1,0,1
1956,31,Pakistan (PAK),0,1,0,1
1956,33,South Africa,0,0,4,4
1956,34,Austria,0,0,2,2
1956,35,Bahamas,0,0,1,1
1956,35,Greece (GRE),0,0,1,1
1956,35,Switzerland (SUI),0,0,1,1
1956,35,Uruguay (URU),0,0,1,1
