year,rank,country,gold,silver,bronz,total
1964,1,United States,36,26,28,90
1964,2,Soviet Union,30,31,35,96
1964,3,Japan,16,5,8,29
1964,4,United Team of Germany,10,22,18,50
1964,5,Italy,10,10,7,27
1964,6,Hungary,10,7,5,22
1964,7,Poland,7,6,10,23
1964,8,Australia,6,2,10,18
1964,9,Czechoslovakia,5,6,3,14
1964,10,Great Britain,4,12,2,18
1964,11,Bulgaria,3,5,2,10
1964,12,Finland,3,0,2,5
1964,12,New,3,0,2,5
1964,14,Romania,2,4,6,12
1964,15,Netherlands,2,4,4,10
1964,16,Turkey,2,3,1,6
1964,17,Sweden,2,2,4,8
1964,18,Denmark,2,1,3,6
1964,19,Yugoslavia,2,1,2,5
1964,20,Belgium,2,0,1,3
1964,21,France,1,8,6,15
1964,22,Canada,1,2,1,4
1964,22,Switzerland (SUI),1,2,1,4
1964,24,Bahamas,1,0,0,1
1964,24,Ethiopia (ETH),1,0,0,1
1964,24,India (IND),1,0,0,1
1964,27,South Korea,0,2,1,3
1964,28,Trinidad and Tobago,0,1,2,3
1964,29,Tunisia,0,1,1,2
1964,30,Argentina,0,1,0,1
1964,30,Cuba (CUB),0,1,0,1
1964,30,Pakistan (PAK),0,1,0,1
1964,30,Philippines (PHI),0,1,0,1
1964,34,Iran,0,0,2,2
1964,35,Brazil,0,0,1,1
1964,35,Ghana (GHA),0,0,1,1
1964,35,Ireland (IRL),0,0,1,1
1964,35,Kenya (KEN),0,0,1,1
1964,35,Mexico (MEX),0,0,1,1
1964,35,Nigeria (NGR),0,0,1,1
1964,35,Uruguay (URU),0,0,1,1
