year,rank,country,gold,silver,bronz,total
1960,1,Soviet Union,43,29,31,103
1960,2,United States,34,21,16,71
1960,3,Italy,13,10,13,36
1960,4,Germany,12,19,11,42
1960,5,Australia,8,8,6,22
1960,6,Turkey,7,2,0,9
1960,7,Hungary,6,8,7,21
1960,8,Japan,4,7,7,18
1960,9,Poland,4,6,11,21
1960,10,Czechoslovakia,3,2,3,8
1960,11,Romania,3,1,6,10
1960,12,Great Britain,2,6,12,20
1960,13,Denmark,2,3,1,6
1960,14,New Zealand,2,0,1,3
1960,15,Bulgaria,1,3,3,7
1960,16,Sweden,1,2,3,6
1960,17,Finland,1,1,3,5
1960,18,Austria,1,1,0,2
1960,18,Yugoslavia (YUG),1,1,0,2
1960,20,Pakistan,1,0,1,2
1960,21,Ethiopia,1,0,0,1
1960,21,Greece (GRE),1,0,0,1
1960,21,Norway (NOR),1,0,0,1
1960,24,Switzerland,0,3,3,6
1960,25,France,0,2,3,5
1960,26,Belgium,0,2,2,4
1960,27,Iran,0,1,3,4
1960,28,Netherlands,0,1,2,3
1960,28,South,0,1,2,3
1960,30,Argentina,0,1,1,2
1960,30,United,0,1,1,2
1960,32,Canada,0,1,0,1
1960,32,Republic,0,1,0,1
1960,32,Ghana (GHA),0,1,0,1
1960,32,India (IND),0,1,0,1
1960,32,Morocco (MAR),0,1,0,1
1960,32,Portugal (POR),0,1,0,1
1960,32,Singapore (SIN),0,1,0,1
1960,39,Brazil,0,0,2,2
1960,39,British,0,0,2,2
1960,41,Iraq,0,0,1,1
1960,41,Mexico (MEX),0,0,1,1
1960,41,Spain (ESP),0,0,1,1
1960,41,Venezuela (VEN),0,0,1,1
