year,rank,country,gold,silver,bronz,total
1936,1,Germany,33,26,30,89
1936,2,United States,24,20,12,56
1936,3,Hungary,10,1,5,16
1936,4,Italy,8,9,5,22
1936,5,Finland,7,6,6,19
1936,5,France (FRA),7,6,6,19
1936,7,Sweden,6,5,9,20
1936,8,Japan,6,4,8,18
1936,9,Netherlands,6,4,7,17
1936,10,Great Britain,4,7,3,14
1936,11,Austria,4,6,3,13
1936,12,Czechoslovakia,3,5,0,8
1936,13,Argentina,2,2,3,7
1936,13,Estonia (EST),2,2,3,7
1936,15,Egypt,2,1,2,5
1936,16,Switzerland,1,9,5,15
1936,17,Canada,1,3,5,9
1936,18,Norway,1,3,2,6
1936,19,Turkey,1,0,1,2
1936,20,India,1,0,0,1
1936,20,New,1,0,0,1
1936,22,Poland,0,3,3,6
1936,23,Denmark,0,2,3,5
1936,24,Latvia,0,1,1,2
1936,25,Romania,0,1,0,1
1936,25,South,0,1,0,1
1936,25,Yugoslavia (YUG),0,1,0,1
1936,28,Mexico,0,0,3,3
1936,29,Belgium,0,0,2,2
1936,30,Australia,0,0,1,1
1936,30,Philippines (PHI),0,0,1,1
1936,30,Portugal (POR),0,0,1,1
